id,name-en,name-zh,element,type,refresh_time,loaction,reward_item
1,"兆载永劫龙兽
","兆载永劫龙兽
","Other
","BOSS自律机关
","5分钟/次
","须弥·降诸魔山
","[001, 125, 231, 215, 168, 327]"
2,"半永恒统辖矩阵
","半永恒统辖矩阵
","Other
","BOSS自律机关
","5分钟/次
","须弥·避让之丘
","[001, 125, 231, 215, 168, 327]"
3,"古岩龙蜥
","古岩龙蜥
","Other
","BOSS龙蜥
","5分钟
","璃月·天遒谷
","[001, 125, 231, 215, 168, 327]"
4,"大雪猪王
","大雪猪王
","Other
","BOSS特殊怪物
","击杀后12小时
","龙脊雪山东部
","[001, 125, 231, 215, 168, 327]"
5,"急冻树
","急冻树
","Cryo
","BOSS
","5分钟/次
","蒙德 · 坠星山谷
","[001, 125, 231, 215, 168, 327]"
6,"恒常机关阵列
","恒常机关阵列
","Other
","BOSS自律机关
","5分钟
","荒海地下（需完成神樱大祓荒海任务解锁传送锚点）、刃连岛虫洞传送
","[001, 125, 231, 215, 168, 327]"
7,"掣电树
","掣电树
","Electro
","BOSS植物
","5分钟/次
","须弥·无郁稠林
","[001, 125, 231, 215, 168, 327]"
8,"无相之冰
","无相之冰
","Cryo
","BOSS无相元素
","5分钟
","龙脊雪山 雪葬之都·近郊
","[001, 125, 231, 215, 168, 327]"
9,"无相之岩
","无相之岩
","Geo
","BOSS无相元素
","5分钟
","孤云阁北面
","[001, 125, 231, 215, 168, 327]"
10,"无相之水
","无相之水
","Hydro
","BOSS无相元素
","5分钟
","海祇岛北面
","[001, 125, 231, 215, 168, 327]"
11,"无相之火
","无相之火
","Pryo
","BOSS无相元素
","5分钟
","九条阵屋北面
","[001, 125, 231, 215, 168, 327]"
12,"无相之草
","无相之草
","Dendro
","BOSS无相元素
","5分钟
","须弥·下风蚀地
","[001, 125, 231, 215, 168, 327]"
13,"无相之雷
","无相之雷
","Electro
","BOSS无相元素
","5分钟/次
","誓言岬西南，鹰之门附近
","[001, 125, 231, 215, 168, 327]"
14,"无相之风
","无相之风
","Anemo
","BOSS无相元素
","5分钟
","望风山地北面
","[001, 125, 231, 215, 168, 327]"
15,"深海龙蜥·吞雷
","深海龙蜥·吞雷
","Other
","BOSS龙蜥
","5分钟
","稻妻·渊下宫·大日御舆
","[001, 125, 231, 215, 168, 327]"
16,"深海龙蜥·啮冰
","深海龙蜥·啮冰
","Other
","BOSS龙蜥
","5分钟
","稻妻·渊下宫·大日御舆
","[001, 125, 231, 215, 168, 327]"
17,"深海龙蜥之群
","深海龙蜥之群
","
","BOSS龙蜥
","5分钟
","渊下宫·大日御舆
","[001, 125, 231, 215, 168, 327]"
18,"爆炎树
","爆炎树
","Pryo
","BOSS
","5分钟/次
","璃月 · 翠玦坡
","[001, 125, 231, 215, 168, 327]"
19,"纯水精灵·洛蒂娅
","纯水精灵·洛蒂娅
","Hydro
","BOSS
","5分/次
","璃月 · 碧水原
","[001, 125, 231, 215, 168, 327]"
20,"翠翎恐蕈
","翠翎恐蕈
","Dendro
","BOSS蕈兽
","5分钟
","须弥
","[001, 125, 231, 215, 168, 327]"
